縣市,長照服務涵蓋率%,未滿足需求比例%,每千名老人核定床數,床位密度缺口排名(舊),涵蓋率缺口排名,脆弱度排名
連江縣,33.5,66.5,14.17,12,1,1
金門縣,43.25,56.75,10.61,7,2,2
臺北市,58.1,41.9,9.05,4,3,3
基隆市,70.06,29.94,22.25,20,4,4
澎湖縣,82.05,17.95,8.96,3,10,5
彰化縣,92.2,7.8,14.68,15,14,6
雲林縣,91.19,8.81,14.4,13,13,7
臺東縣,111.51,-11.51,18.59,18,21,8
苗栗縣,78.32,21.68,9.61,5,7,9
屏東縣,106.4,-6.4,19.18,19,18,10
南投縣,106.95,-6.95,13.75,11,19,11
高雄市,88.37,11.63,14.41,14,11,12
嘉義縣,115.29,-15.29,12.22,8,22,13
花蓮縣,109.37,-9.37,18.57,17,20,14
新竹縣,78.82,21.18,13.24,9,8,15
新竹市,76.55,23.45,8.2,2,5,16
臺南市,95.62,4.38,16.0,16,15,17
新北市,79.9,20.1,13.43,10,9,18
宜蘭縣,100.39,-0.39,25.66,21,16,19
嘉義市,104.03,-4.03,27.68,22,17,20
臺中市,89.24,10.76,7.99,1,12,21
桃園市,77.75,22.25,9.85,6,6,22
